pokemon,card_name,set_name,card_number,pricecharting_product_id,image_url
Blastoise,Blastoise ex,Expedition,#164,,
Blastoise,Blastoise VMAX,151,#009,,
Blastoise,Blastoise,Celebrations,#002,,
Venusaur,Venusaur,Base Set,#15,,
Venusaur,Venusaur ex,FireRed & LeafGreen,#106,,
Venusaur,Venusaur VMAX,Champions Path,#004,,
Venusaur,Venusaur,Base Set 2,#18,,
Venusaur,Venusaur ex,Power Keepers,#001,,
Venusaur,Venusaur V,Champions Path,#003,,
Venusaur,Venusaur,Legendary Collection,#18,,
Venusaur,Venusaur ex,Expedition,#167,,
Venusaur,Venusaur VMAX,151,#003,,
Venusaur,Venusaur,Celebrations,#003,,
Dragonite,Dragonite,Fossil,#4,,
Dragonite,Dragonite ex,EX Team Rocket Returns,#105,,
Dragonite,Dragonite V,Evolutions,#72,,
Dragonite,Dragonite,Neo Revelation,#14,,
Dragonite,Dragonite VSTAR,Silver Tempest,#131,,
Dragonite,Dragonite,Skyridge,#H18,,
Dragonite,Dragonite ex,EX Dragon,#104,,
Dragonite,Dragonite V,Pokemon GO,#049,,
Dragonite,Dragonite,Legendary Collection,#5,,
Dragonite,Dragonite ex,EX Dragon Frontiers,#101,,
Gyarados,Gyarados,Base Set,#6,,
Gyarados,Gyarados ex,EX Deoxys,#102,,
Gyarados,Gyarados VMAX,Champions Path,#028,,
Gyarados,Gyarados,Skyridge,#H10,,
Gyarados,Gyarados V,Darkness Ablaze,#028,,
Gyarados,Gyarados,Legendary Collection,#8,,
Gyarados,Gyarados ex,EX Holon Phantoms,#102,,
Gyarados,Gyarados VMAX,Evolving Skies,#029,,
Gyarados,Gyarados,Team Rocket,#13,,
Gyarados,Gyarados ex,EX Dragon,#103,,
Snorlax,Snorlax,Jungle,#11,,
Snorlax,Snorlax,Skyridge,#H32,,
Snorlax,Snorlax VMAX,Sword & Shield,#206,,
Snorlax,Snorlax,Legendary Collection,#64,,
Snorlax,Snorlax V,Sword & Shield,#141,,
Snorlax,Snorlax,Promo,#51,,
Snorlax,Snorlax ex,FireRed & LeafGreen,#108,,
Snorlax,Snorlax VMAX,151,#076,,
Snorlax,Snorlax,Unbroken Bonds,#158,,
Snorlax,Snorlax,Celebrations,#011,,
Lucario,Lucario,Diamond & Pearl,#2,,
Lucario,Lucario LV.X,Mysterious Treasures,#122,,
Lucario,Lucario VSTAR,Brilliant Stars,#084,,
Lucario,Lucario,Supreme Victors,#53,,
Lucario,Lucario V,Brilliant Stars,#078,,
Lucario,Lucario ex,Rising Rivals,#103,,
Lucario,Lucario VMAX,Chilling Reign,#085,,
Lucario,Lucario,Stormfront,#19,,
Lucario,Lucario ex,Temporal Forces,#082,,
Lucario,Lucario V,Astral Radiance,#078,,
Greninja,Greninja,BREAKthrough,#41,,
Greninja,Greninja ex,Twilight Masquerade,#106,,
Greninja,Greninja Gold Star,BREAKpoint,#144,,
Greninja,Greninja V,Chilling Reign,#073,,
Greninja,Greninja ex,Temporal Forces,#041,,
Greninja,Greninja,Fates Collide,#40,,
Greninja,Greninja VMAX,Chilling Reign,#074,,
Greninja,Greninja,XY,#41,,
Greninja,Greninja ex,Shrouded Fable,#041,,
Greninja,Greninja,Forbidden Light,#72,,
Sylveon,Sylveon,Furious Fists,#72,,
Sylveon,Sylveon VMAX,Evolving Skies,#212,,
Sylveon,Sylveon ex,Prismatic Evolutions,#156,,
Sylveon,Sylveon V,Evolving Skies,#093,,
Sylveon,Sylveon,Evolutions,#72,,
Sylveon,Sylveon V,Prismatic Evolutions,#040,,
Sylveon,Sylveon ex,Celebrations,#093,,
Sylveon,Sylveon,Fusion Strike,#184,,
Sylveon,Sylveon VMAX,Prismatic Evolutions,TG15,,
Sylveon,Sylveon,Brilliant Stars,TG14,,
Espeon,Espeon,Neo Discovery,#1,,
Espeon,Espeon VMAX,Evolving Skies,#214,,
Espeon,Espeon Gold Star,POP Series 5,#16,,
Espeon,Espeon V,Evolving Skies,#081,,
Espeon,Espeon ex,Prismatic Evolutions,#117,,
Espeon,Espeon,Skyridge,#H9,,
Espeon,Espeon V,Prismatic Evolutions,#054,,
Espeon,Espeon,Celebrations,#023,,
Espeon,Espeon ex,Celebrations Classic,#1,,
Espeon,Espeon,Fusion Strike,#183,,
Tyranitar,Tyranitar,Neo Discovery,#12,,
Tyranitar,Tyranitar ex,Team Up,#91,,
Tyranitar,Tyranitar V,Battle Styles,#096,,
Tyranitar,Tyranitar,Skyridge,#H29,,
Tyranitar,Tyranitar VMAX,Battle Styles,#097,,
Tyranitar,Tyranitar ex,Obsidian Flames,#222,,
Tyranitar,Tyranitar,Legendary Collection,#62,,
Tyranitar,Tyranitar ex,EX Unseen Forces,#109,,
Tyranitar,Tyranitar V,Lost Origin,#092,,
Tyranitar,Tyranitar,Celebrations,#019,,
Ho-Oh,Ho-Oh,Neo Revelation,#7,,
Ho-Oh,Ho-Oh ex,EX Unseen Forces,#104,,
Ho-Oh,Ho-Oh V,Silver Tempest,#126,,
Ho-Oh,Ho-Oh,Skyridge,#H27,,
Ho-Oh,Ho-Oh VSTAR,Silver Tempest,#140,,
Ho-Oh,Ho-Oh ex,Celebrations,#018,,
Ho-Oh,Ho-Oh,Celebrations Classic,#018,,
Ho-Oh,Ho-Oh V,Lost Origin,TG21,,
Ho-Oh,Ho-Oh ex,Stellar Crown,#129,,
Ho-Oh,Ho-Oh,Neo Destiny,#7,,
Arcanine,Arcanine,Base Set,#23,,
Arcanine,Arcanine ex,FireRed & LeafGreen,#15,,
Arcanine,Arcanine,Skyridge,#H2,,
Arcanine,Arcanine V,Brilliant Stars,#018,,
Arcanine,Arcanine ex,Scarlet & Violet,#224,,
Arcanine,Arcanine,Legendary Collection,#36,,
Arcanine,Arcanine V,Pokemon 151,#018,,
Arcanine,Arcanine,Expedition,#H2,,
Arcanine,Arcanine ex,Temporal Forces,#032,,
Arcanine,Arcanine,Team Rocket,#1,,
Alakazam,Alakazam,Base Set,#1,,
Alakazam,Alakazam ex,FireRed & LeafGreen,#99,,
Alakazam,Alakazam V,Champions Path,TG05,,
Alakazam,Alakazam,Legendary Collection,#1,,
Alakazam,Alakazam ex,Expedition,#125,,
Alakazam,Alakazam V,151,#058,,
Alakazam,Alakazam,Skyridge,#H1,,
Alakazam,Alakazam ex,Legend Maker,#99,,
Alakazam,Alakazam VMAX,Champions Path,TG06,,
Alakazam,Alakazam,Team Rocket,#1,,
Machamp,Machamp,Base Set,#8,,
Machamp,Machamp ex,FireRed & LeafGreen,#102,,
Machamp,Machamp VMAX,Champions Path,TG03,,
Machamp,Machamp,Legendary Collection,#9,,
Machamp,Machamp ex,Expedition,#151,,
Machamp,Machamp V,Champions Path,TG02,,
Machamp,Machamp,Skyridge,#H2,,
Machamp,Machamp ex,EX Power Keepers,#102,,
Machamp,Machamp VMAX,151,#073,,
Machamp,Machamp,Team Rocket,#8,,
Celebi,Celebi,Neo Genesis,#3,,
Celebi,Celebi ex,EX Hidden Legends,#91,,
Celebi,Celebi V,Chilling Reign,#007,,
Celebi,Celebi,Skyridge,#H13,,
Celebi,Celebi VMAX,Chilling Reign,#008,,
Celebi,Celebi,Celebrations,#003,,
Celebi,Celebi ex,Celebrations Classic,#3,,
Celebi,Celebi V,Fusion Strike,#245,,
Celebi,Celebi,Ancient Mew Promo,#3,,
Celebi,Celebi ex,Unseen Forces,#17,,
Darkrai,Darkrai,Great Encounters,#4,,
Darkrai,Darkrai ex,Legend Maker,#101,,
Darkrai,Darkrai VSTAR,Brilliant Stars,GG50,,
Darkrai,Darkrai,Skyridge,#H2,,
Darkrai,Darkrai V,Brilliant Stars,TG18,,
Darkrai,Darkrai ex,Rising Rivals,DP39,,
Darkrai,Darkrai VMAX,Chilling Reign,#094,,
Darkrai,Darkrai,Legends Awakened,#2,,
Darkrai,Darkrai ex,BREAKthrough,#118,,
Darkrai,Darkrai V,Lost Origin,TG03,,
